Price,Close,High,Low,Open,Volume
Ticker,BP,BP,BP,BP,BP
Date,,,,,
2025-09-02,33.915771484375,33.944651182264955,33.39591488799833,33.47293231222876,8468600
2025-09-03,33.174495697021484,33.82912912120494,33.12636164250066,33.77136972473714,10263500
2025-09-04,33.02046203613281,33.24188160819323,32.914564920714206,33.06859608703417,6020200
2025-09-05,32.66426467895508,32.904938598680715,32.43321610016574,32.80867049974749,7857900
2025-09-08,32.64501190185547,32.991582950586945,32.44284668089302,32.89531117461001,5795300
2025-09-09,32.818294525146484,33.46329884140745,32.79904017165314,33.20337425022843,6604600
2025-09-10,33.46330261230469,33.47293162633264,32.8568069346859,32.91456632928225,5528000
2025-09-11,33.18412399291992,33.42479793270636,33.03971816009091,33.16486963704986,5667800
2025-09-12,32.625755310058594,33.36703140849677,32.539112553815364,33.18412055526884,8979900
2025-09-15,32.93382263183594,32.95307698863723,32.70277769500655,32.91456827503465,5805500
2025-09-16,33.14561462402344,33.241882729072216,32.85680663648429,32.89531167506812,4477800
2025-09-17,33.02046203613281,33.22262725335415,32.827922160134676,32.89531056587512,5689000
2025-09-18,33.2707633972168,33.463299591682166,33.068594517200154,33.19374598151664,8261100
2025-09-19,32.84717559814453,33.05896982307016,32.654635727520564,32.98195240586354,8052200
2025-09-22,33.08784866333008,33.309268223488715,32.77978634724914,32.856803762465624,9758200
2025-09-23,33.44404983520508,33.98315707044771,33.41516646732236,33.59808099847334,6720800
2025-09-24,33.89651870727539,34.12756731833641,33.65584475393366,33.68472812556196,5771400
2025-09-25,33.94464874267578,34.04092051604481,33.76173788186362,33.79061757767799,3971800
2025-09-26,34.35860824584961,34.541522779366765,34.098679965898384,34.108308979448054,6110900
2025-09-29,33.45367431640625,33.98315619700756,33.35740621898511,33.954276502259724,5861100
2025-09-30,33.174495697021484,33.33815588926383,32.933821752024414,33.12636164250066,6026800
2025-10-01,33.174495697021484,33.48255805282629,33.174495697021484,33.36703558749773,5595000
2025-10-02,32.59687423706055,33.08784738674937,32.59687423706055,32.97232494077418,5742600
2025-10-03,32.885684967041016,33.13598423320299,32.87605962589321,33.07822484153088,5945000
2025-10-06,33.53069305419922,33.72322925663221,33.33815317937357,33.463300976476475,6188600
2025-10-07,33.66546630859375,33.79061409247662,33.203372861261215,33.723225694265146,4764700
2025-10-08,33.23225402832031,33.58845038786689,33.164865627119404,33.501807633123946,5128200
2025-10-09,33.01083755493164,33.72323034057403,32.991583199590934,33.549944814900414,5749300
2025-10-10,32.24068069458008,32.847176343070025,32.22142633984176,32.68351983638334,7541000
2025-10-13,32.44284439086914,32.68351830523406,32.33694728096578,32.44284439086914,3902200
2025-10-14,31.874853134155273,32.12515238396582,31.557161811142073,31.624550211952315,8312200
2025-10-15,32.096275329589844,32.34657459998481,32.028886923237636,32.17328907725263,6691200
2025-10-16,31.55716323852539,32.30806836670656,31.499403848014012,32.19254224089863,6282300
2025-10-17,31.89410972595215,31.942243776710082,31.65343579976982,31.701569850527754,4877900
2025-10-20,31.98075294494629,32.067395706510275,31.691941291471178,31.83634711820873,5937700
2025-10-21,31.922990798950195,32.19254443273614,31.778584968054673,31.971124851784424,4443300
2025-10-22,33.03971862792969,33.12636139437537,32.250308388043635,32.25993372991852,7017600
2025-10-23,33.6943473815918,33.819498842993305,33.453673471723285,33.64621333409658,8478000
2025-10-24,33.25151062011719,33.742483815114404,33.25151062011719,33.54994393912607,6005400
2025-10-27,33.47292709350586,33.59807855217164,33.309266928728704,33.47292709350586,4173000
2025-10-28,33.174495697021484,33.492187067166235,33.15524134073456,33.357410245550746,5132200
2025-10-29,33.88689041137695,34.146818699017565,33.36703383609573,33.37665917753748,8743000
2025-10-30,33.47292709350586,34.04091765527538,33.45367274045017,33.713600998113414,10066400
