Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
2025-09-02,43.892337799072266,43.96992214559059,43.383204397890474,43.71293047174284,25964400
2025-09-03,42.90800476074219,43.90688276443965,42.76253967630653,43.54321450421323,36018200
2025-09-04,43.194095611572266,43.37350293239745,42.72860064761417,42.912857914777234,25895400
2025-09-05,42.36008071899414,42.98074064610505,42.1467274817654,42.84012180333383,48182200
2025-09-08,42.26310348510742,42.68495630892984,41.889735324441105,42.500699051351944,34931800
2025-09-09,42.466758728027344,43.0680225896741,42.44251269593933,42.49100106069026,41193400
2025-09-10,43.20863723754883,43.23288326728034,42.46675460063129,42.563731320707866,29932800
2025-09-11,43.21833801269531,43.310468496134966,42.73344696204471,42.864369617398445,25176800
2025-09-12,42.961341857910156,43.5917016376477,42.95164566565754,43.397744497772706,22297800
2025-09-15,42.815879821777344,43.155302066122914,42.74314542672472,43.04377550045222,23287800
2025-09-16,43.53351593017578,43.66928482619587,42.99528659279259,43.00498648503686,41593000
2025-09-17,43.63534164428711,43.94082535305115,43.286219519656704,43.475330420018906,26044800
2025-09-18,43.49957275390625,43.76141434739505,43.16984671389348,43.67413381623212,28713000
2025-09-19,42.922550201416016,43.49472173618031,42.77223517344884,43.460779513754666,29979200
2025-09-22,42.8731575012207,43.08344005163034,42.59930254477799,42.770461892554685,22502400
2025-09-23,43.61159133911133,44.08105856959656,43.04431610373717,43.04431610373717,44214800
2025-09-24,44.17886734008789,44.58965354044413,43.870780488066416,43.91968262999128,35406200
2025-09-25,44.574981689453125,44.61899249632572,44.051720954334336,44.17397817030596,31887200
2025-09-26,44.98576354980469,45.43567293419077,44.63855350875256,44.64833617525774,40161600
2025-09-29,44.15930938720703,44.7363636152494,43.929465216487586,44.67278747296872,37674400
2025-09-30,43.68983459472656,43.865885274880775,43.347515900534454,43.77297233273946,47544800
2025-10-01,43.68983459472656,43.83654473851972,43.425762305489194,43.474664443088926,27661200
2025-10-02,43.249717712402344,43.97836973887429,43.20570317067211,43.5920364547732,31793600
2025-10-03,43.47956085205078,43.733854235852576,43.41598470785455,43.46977818479242,24048000
2025-10-06,43.69472885131836,43.94413462005643,43.518678159384926,43.7534136589609,21488400
2025-10-07,43.76319122314453,43.79742309378126,42.99052846720198,43.65560427800221,25324000
