Price,Close,High,Low,Open,Volume
Ticker,COP,COP,COP,COP,COP
Date,,,,,
2025-09-02,96.6046371459961,97.24873670826551,95.43355650893237,96.71198707304099,5192300
2025-09-03,92.36922454833984,95.91174991553854,92.06668954190764,95.27741144820891,9793500
2025-09-04,93.46222686767578,93.85258955609108,91.71536705286682,92.27163146405519,5612700
2025-09-05,90.7101821899414,92.58392163578702,89.90994201613462,91.86174804449742,8510300
2025-09-08,89.19754028320312,90.98344465211737,88.32898716411248,90.78825957473501,9750600
2025-09-09,89.64645385742188,91.40308230778618,89.24633003712528,90.0856072472383,5838300
2025-09-10,92.04717254638672,92.05693366134025,89.48055028424552,89.64645201070977,4353800
2025-09-11,91.86174774169922,91.8910310862894,90.4466913540202,90.59307829477471,4721000
2025-09-12,90.20272064208984,92.77910413936881,90.19295952668097,92.47657657163931,5170400
2025-09-15,90.1051254272461,90.80777677580704,89.48054810531391,90.46620477069344,4932100
2025-09-16,92.26187133789062,92.80837464019834,90.41741524705304,90.83705383862477,7860400
2025-09-17,91.5592269897461,92.90597056448405,90.89561259519051,91.75440462821258,7072700
2025-09-18,91.2274169921875,92.12524597781513,90.67115257222808,91.34452058867424,4416600
2025-09-19,89.70500183105469,91.56898013196731,89.16825964923382,91.52994311856322,15284100
2025-09-22,89.79283905029297,90.59307922972067,88.88524894290735,89.29512642481075,5798800
2025-09-23,91.2176513671875,93.22800909333505,90.3686131068923,90.3686131068923,8241900
2025-09-24,93.32560729980469,94.32103259427117,91.73488798639586,92.21307840284767,7935600
2025-09-25,94.47716522216797,94.73090208201961,92.90596082687901,92.90596082687901,8076300
2025-09-26,96.10693359375,97.24873835100703,94.52596800601385,94.72114563363841,6812900
2025-09-29,93.5403060913086,95.04319768559711,92.37898652182838,94.85777372304968,8700500
2025-09-30,92.3106689453125,92.77910570067777,91.29573629219537,92.33019117645877,7318300
2025-10-01,93.15969848632812,93.62813519734033,91.56897929380447,91.99837154622098,4794600
2025-10-02,91.12982177734375,93.8233162106022,90.88584602113862,92.71078735795072,5428600
2025-10-03,91.89102935791016,92.42777153651564,91.2274150251142,91.40307786160574,4321600
2025-10-06,92.62295532226562,93.12066048082232,92.0666834764396,92.4960831698286,3454100
2025-10-07,92.93524932861328,92.98404001304921,90.39789548036785,92.17403870681008,4071900
2025-10-08,91.49090576171875,92.9157232406487,91.04199127758046,92.89620845679441,5289400
2025-10-09,89.7342758178711,92.73029766147381,89.60741111117252,92.03740744079911,6940000
2025-10-10,85.52812957763672,88.80716391794309,85.52812957763672,88.72908989899574,7892400
2025-10-13,86.64067077636719,86.83585585186903,85.46959010555351,86.23079328613734,5887300
2025-10-14,86.04537200927734,86.74802341189873,84.65959143496825,84.80597838477263,6003900
2025-10-15,85.62572479248047,86.84560350910394,84.50343488407712,86.78705171328163,6036100
2025-10-16,84.81573486328125,86.29910417451283,83.53729684680263,85.50862511255481,7816600
2025-10-17,84.3960952758789,85.38175195162192,84.05452326717389,84.8352486505724,5774600
2025-10-20,84.96211242675781,85.14753637852453,84.12283525477542,84.61078675264663,4636400
2025-10-21,84.32778930664062,85.56718295086988,84.16188012326216,85.147544325712,5895500
2025-10-22,85.3036880493164,85.64525262320173,84.43512749636618,85.16705477421299,8307800
2025-10-23,87.90934753417969,88.79741542792473,87.00175741014834,87.54826072937605,7866300
2025-10-24,85.90874481201172,88.41681536763153,85.81115599554022,88.30946543584804,7886600
2025-10-27,86.55284118652344,87.23597032198923,86.18199327394272,86.56259485592355,5716000
2025-10-28,84.69862365722656,86.23079109461723,84.60103484473049,86.1722392962294,5234800
2025-10-29,85.95753479003906,86.27958455484344,84.649820947598,84.75717086919947,5476300
2025-10-30,86.0160903930664,87.09934332587244,85.18657432669171,85.8111516551773,6114200
2025-10-31,86.71874237060547,87.45066963069124,85.42078957578826,85.79163748604981,5635800
